Date,Open,High,Low,Close,Adj Close,Volume
2021-04-28,83200.000000,83200.000000,82100.000000,82100.000000,80985.664063,15596759
2021-04-29,82400.000000,82500.000000,81500.000000,81700.000000,80591.093750,20000973
2021-04-30,81900.000000,82100.000000,81500.000000,81500.000000,80393.812500,18673197
2021-05-03,81000.000000,82400.000000,81000.000000,81700.000000,80591.093750,15710336
2021-05-04,81900.000000,82600.000000,81800.000000,82600.000000,81478.882813,12532550
2021-05-06,81700.000000,82300.000000,81700.000000,82300.000000,81182.953125,17047511
2021-05-07,81800.000000,82100.000000,81500.000000,81900.000000,80788.375000,14154882
2021-05-10,82300.000000,83500.000000,81800.000000,83200.000000,82070.742188,19385027
2021-05-11,82500.000000,82600.000000,81100.000000,81200.000000,80097.882813,28996680
2021-05-12,80800.000000,81200.000000,79800.000000,80000.000000,78914.171875,35812268
2021-05-13,78900.000000,79600.000000,78400.000000,78500.000000,77434.531250,31490096
2021-05-14,79000.000000,80300.000000,78900.000000,80100.000000,79012.804688,16450920
2021-05-17,80800.000000,80900.000000,79200.000000,79600.000000,78519.601563,17740855
2021-05-18,79600.000000,80000.000000,79100.000000,79600.000000,78519.601563,17494407
2021-05-20,79400.000000,79700.000000,79100.000000,79500.000000,78420.953125,16541828
2021-05-21,80100.000000,81500.000000,79800.000000,80100.000000,79012.804688,20961714
2021-05-24,80100.000000,80400.000000,79500.000000,79700.000000,78618.234375,13398666
2021-05-25,80000.000000,80400.000000,79800.000000,79900.000000,78815.523438,13628942
2021-05-26,80400.000000,80500.000000,79700.000000,79800.000000,78716.882813,11984359
2021-05-27,80000.000000,80000.000000,79100.000000,79600.000000,78519.601563,23198510
2021-05-28,79800.000000,80400.000000,79400.000000,80100.000000,79012.804688,12360199
2021-05-31,80300.000000,80600.000000,79600.000000,80500.000000,79407.382813,13321324
2021-06-01,80500.000000,81300.000000,80100.000000,80600.000000,79506.023438,14058401
2021-06-02,80400.000000,81400.000000,80300.000000,80800.000000,79703.304688,16414644
2021-06-03,81300.000000,83000.000000,81100.000000,82800.000000,81676.164063,29546007
2021-06-04,82700.000000,82700.000000,81500.000000,82200.000000,81084.312500,18112259
2021-06-07,82700.000000,82800.000000,81600.000000,81900.000000,80788.375000,16496197
2021-06-08,82300.000000,82600.000000,81800.000000,81900.000000,80788.375000,12781226
2021-06-09,81500.000000,82000.000000,81100.000000,81100.000000,79999.234375,14908823
2021-06-10,81300.000000,81400.000000,80900.000000,81000.000000,79900.593750,17586995
2021-06-11,81200.000000,81700.000000,80700.000000,81000.000000,79900.593750,14087962
2021-06-14,80800.000000,80900.000000,80500.000000,80500.000000,79407.382813,10550078
2021-06-15,80900.000000,81200.000000,80600.000000,80900.000000,79801.945313,10075685
2021-06-16,81500.000000,81900.000000,81100.000000,81800.000000,80689.734375,14999855
2021-06-17,81100.000000,81300.000000,80700.000000,80900.000000,79801.945313,14007385
2021-06-18,81100.000000,81100.000000,80500.000000,80500.000000,79407.382813,14916721
2021-06-21,79700.000000,80000.000000,79600.000000,79900.000000,78815.523438,16063340
2021-06-22,80200.000000,80300.000000,79900.000000,80000.000000,78914.171875,11773365
2021-06-23,80500.000000,80600.000000,79900.000000,80100.000000,79012.804688,13856548
2021-06-24,80400.000000,81400.000000,80100.000000,81200.000000,80097.882813,18771080
2021-06-25,81500.000000,81900.000000,81200.000000,81600.000000,80492.453125,13481405
2021-06-28,81700.000000,82000.000000,81600.000000,81900.000000,80788.375000,11578529
2021-06-29,81900.000000,82100.000000,80800.000000,81000.000000,80254.343750,15744317
2021-06-30,81100.000000,81400.000000,80700.000000,80700.000000,79957.109375,13288643
2021-07-01,80500.000000,80600.000000,80000.000000,80100.000000,79362.625000,13382882
2021-07-02,80000.000000,80400.000000,79900.000000,80000.000000,79263.554688,8753097
2021-07-05,80100.000000,80800.000000,80000.000000,80400.000000,79659.867188,8330969
2021-07-06,80600.000000,81200.000000,80500.000000,81200.000000,80452.500000,12131651
2021-07-07,81200.000000,81300.000000,80300.000000,80800.000000,80056.179688,15992202
2021-07-08,81100.000000,81200.000000,79900.000000,79900.000000,79164.468750,16660998
2021-07-09,79600.000000,79800.000000,79000.000000,79400.000000,78669.070313,22720577
2021-07-12,79900.000000,80000.000000,79500.000000,79700.000000,78966.304688,9768108
2021-07-13,80000.000000,80200.000000,79800.000000,79800.000000,79065.390625,9863450
2021-07-14,79400.000000,79600.000000,79100.000000,79500.000000,78768.148438,11575636
2021-07-15,79800.000000,80600.000000,79500.000000,80600.000000,79858.023438,13766279
2021-07-16,80100.000000,80100.000000,79500.000000,79800.000000,79065.390625,10859399
2021-07-19,79100.000000,79200.000000,78800.000000,79000.000000,78272.750000,13155414
2021-07-20,78500.000000,79000.000000,78400.000000,79000.000000,78272.750000,12456646
2021-07-21,79000.000000,79100.000000,78500.000000,78500.000000,77777.359375,12355296
2021-07-22,79000.000000,79800.000000,78900.000000,79700.000000,78966.304688,12618790
2021-07-23,79700.000000,79900.000000,79200.000000,79300.000000,78569.992188,9098910
2021-07-26,79400.000000,79500.000000,78800.000000,78800.000000,78074.593750,10040975
2021-07-27,79200.000000,79400.000000,78500.000000,78500.000000,77777.359375,11427693
2021-07-28,78300.000000,79200.000000,78100.000000,79200.000000,78470.914063,12743417
2021-07-29,78800.000000,79400.000000,78800.000000,79000.000000,78272.750000,14360453
2021-07-30,78900.000000,78900.000000,78500.000000,78500.000000,77777.359375,13823411
2021-08-02,79200.000000,79500.000000,78700.000000,79300.000000,78569.992188,11739124
2021-08-03,79400.000000,81400.000000,79300.000000,81400.000000,80650.664063,24339360
2021-08-04,82200.000000,83100.000000,81800.000000,82900.000000,82136.851563,25642368
2021-08-05,83300.000000,83300.000000,82000.000000,82100.000000,81344.218750,18485469
2021-08-06,81900.000000,82500.000000,81300.000000,81500.000000,80749.742188,13342623
2021-08-09,81500.000000,82300.000000,80900.000000,81500.000000,80749.742188,15522581
2021-08-10,82300.000000,82400.000000,80100.000000,80200.000000,79461.703125,20362639
2021-08-11,79600.000000,79800.000000,78500.000000,78500.000000,77777.359375,30241137
2021-08-12,77100.000000,78200.000000,76900.000000,77000.000000,76291.164063,42365223
2021-08-13,75800.000000,76000.000000,74100.000000,74400.000000,73715.101563,61270643
2021-08-17,74000.000000,75100.000000,74000.000000,74200.000000,73516.937500,30944847
2021-08-18,73900.000000,74600.000000,73100.000000,73900.000000,73219.703125,29192631
2021-08-19,73500.000000,74400.000000,73100.000000,73100.000000,72427.062500,22166298
2021-08-20,73500.000000,73900.000000,72500.000000,72700.000000,72030.742188,22364803
2021-08-23,73300.000000,74000.000000,73000.000000,73300.000000,72625.226563,19384648
2021-08-24,73900.000000,75700.000000,73900.000000,75600.000000,74904.054688,21016913
2021-08-25,76200.000000,76600.000000,74900.000000,75700.000000,75003.132813,22319664
2021-08-26,76100.000000,76200.000000,74600.000000,74600.000000,73913.257813,16671494
2021-08-27,74300.000000,75000.000000,73800.000000,74300.000000,73616.015625,15172748
2021-08-30,75400.000000,75500.000000,74200.000000,74600.000000,73913.257813,12686999
2021-08-31,74900.000000,76700.000000,74300.000000,76700.000000,75993.929688,24630370
2021-09-01,76700.000000,77100.000000,75900.000000,76800.000000,76093.000000,16114775
2021-09-02,76800.000000,76800.000000,75700.000000,76000.000000,75300.375000,15347486
2021-09-03,76400.000000,76700.000000,76000.000000,76600.000000,75894.851563,12096419
2021-09-06,76800.000000,77600.000000,76600.000000,77300.000000,76588.406250,12861180
2021-09-07,77100.000000,77100.000000,75900.000000,76100.000000,75399.445313,13239401
2021-09-08,76000.000000,76400.000000,75600.000000,76300.000000,75597.609375,11798147
2021-09-09,76400.000000,76600.000000,75000.000000,75300.000000,74606.812500,17600770
2021-09-10,75300.000000,75600.000000,74800.000000,75300.000000,74606.812500,10103212
2021-09-13,75200.000000,76300.000000,75100.000000,76300.000000,75597.609375,11397775
2021-09-14,77100.000000,77700.000000,76600.000000,76600.000000,75894.851563,18167057
2021-09-15,77400.000000,77400.000000,76400.000000,77000.000000,76291.164063,12829128
2021-09-16,77300.000000,77400.000000,76100.000000,76100.000000,75399.445313,13067622
2021-09-17,76300.000000,77200.000000,75900.000000,77200.000000,76489.320313,16289502
2021-09-23,77500.000000,77600.000000,76800.000000,77400.000000,76687.484375,17055590
2021-09-24,77600.000000,77700.000000,77100.000000,77300.000000,76588.406250,12247274
2021-09-27,77300.000000,77700.000000,77000.000000,77700.000000,76984.718750,11699798
2021-09-28,77700.000000,77800.000000,76200.000000,76300.000000,75597.609375,15406382
2021-09-29,74800.000000,75300.000000,73800.000000,74100.000000,73766.875000,23992458
2021-09-30,74300.000000,74800.000000,73700.000000,74100.000000,73766.875000,19919361
2021-10-01,73900.000000,74000.000000,72900.000000,73200.000000,72870.921875,15803395
2021-10-05,73000.000000,73000.000000,71400.000000,72200.000000,71875.414063,24013921
2021-10-06,72600.000000,72800.000000,71200.000000,71300.000000,70979.460938,18956962
2021-10-07,71600.000000,72100.000000,71300.000000,71600.000000,71278.117188,13683532
2021-10-08,72300.000000,72400.000000,71500.000000,71500.000000,71178.562500,14043287
