Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,112500.000000,116000.000000,110000.000000,114500.000000,114446.531250,2832622
2021-05-04,113500.000000,116000.000000,112000.000000,115500.000000,115446.070313,2228466
2021-05-06,115000.000000,117500.000000,113500.000000,115000.000000,114946.304688,3234424
2021-05-07,115500.000000,117000.000000,114000.000000,114500.000000,114446.531250,2040844
2021-05-10,115500.000000,116500.000000,114500.000000,116000.000000,115945.835938,1898994
2021-05-11,115000.000000,117000.000000,114500.000000,114500.000000,114446.531250,1875600
2021-05-12,115000.000000,115500.000000,112000.000000,113000.000000,112947.234375,2558482
2021-05-13,109000.000000,111000.000000,108000.000000,109500.000000,109448.867188,4201490
2021-05-14,109500.000000,111500.000000,108000.000000,109000.000000,108949.101563,2276082
2021-05-17,109000.000000,111000.000000,109000.000000,110500.000000,110448.406250,1656454
2021-05-18,111500.000000,114500.000000,111000.000000,113000.000000,112947.234375,1585701
2021-05-20,112500.000000,115500.000000,112000.000000,113500.000000,113447.000000,2135101
2021-05-21,116000.000000,119000.000000,114500.000000,117000.000000,116945.367188,3018548
2021-05-24,116500.000000,118000.000000,115500.000000,116500.000000,116445.601563,1715308
2021-05-25,117000.000000,118000.000000,116000.000000,118000.000000,117944.898438,1777001
2021-05-26,118500.000000,120000.000000,117500.000000,119500.000000,119444.203125,2308405
2021-05-27,120000.000000,125000.000000,119500.000000,125000.000000,124941.632813,7398732
2021-05-28,125000.000000,125500.000000,120500.000000,122000.000000,121943.031250,3685820
2021-05-31,122000.000000,123000.000000,120500.000000,123000.000000,122942.562500,2299358
2021-06-01,123500.000000,127000.000000,123000.000000,127000.000000,126940.695313,3573808
2021-06-02,128000.000000,129500.000000,126000.000000,127000.000000,126940.695313,2597446
2021-06-03,127500.000000,128500.000000,126000.000000,126500.000000,126440.929688,1737466
2021-06-04,126000.000000,126000.000000,123000.000000,124000.000000,123942.101563,2668254
2021-06-07,125000.000000,127000.000000,125000.000000,126000.000000,125941.164063,1905198
2021-06-08,127000.000000,128500.000000,126500.000000,128500.000000,128440.000000,2248373
2021-06-09,128500.000000,130000.000000,128500.000000,129000.000000,128939.765625,1936747
2021-06-10,130000.000000,135000.000000,129500.000000,133500.000000,133437.656250,5564011
2021-06-11,134500.000000,136500.000000,132000.000000,135500.000000,135436.734375,3674400
2021-06-14,136000.000000,143000.000000,136000.000000,142500.000000,142433.453125,6240394
2021-06-15,143500.000000,144500.000000,140500.000000,144500.000000,144432.531250,4950329
2021-06-16,144000.000000,146000.000000,142500.000000,143000.000000,142933.234375,4996272
2021-06-17,142000.000000,149500.000000,140500.000000,148000.000000,147930.890625,5408889
2021-06-18,150000.000000,157500.000000,149500.000000,155000.000000,154927.625000,7706345
2021-06-21,155500.000000,159500.000000,152000.000000,155000.000000,154927.625000,8324948
2021-06-22,158000.000000,159000.000000,155500.000000,159000.000000,158925.750000,4662042
2021-06-23,162500.000000,170000.000000,161000.000000,169500.000000,169420.859375,9078797
2021-06-24,172000.000000,173000.000000,155500.000000,157000.000000,156926.687500,18408195
2021-06-25,155000.000000,159500.000000,150500.000000,154500.000000,154427.859375,12271446
2021-06-28,154500.000000,157500.000000,154000.000000,155000.000000,154927.625000,5141409
2021-06-29,156000.000000,158000.000000,154500.000000,158000.000000,157926.218750,3938542
2021-06-30,159000.000000,165000.000000,157500.000000,163000.000000,162923.890625,7305590
2021-07-01,164000.000000,165500.000000,159500.000000,160000.000000,159925.296875,4630280
2021-07-02,158500.000000,161500.000000,156000.000000,159500.000000,159425.515625,4407703
2021-07-05,160500.000000,162000.000000,156500.000000,157000.000000,156926.687500,4506967
2021-07-06,157500.000000,159000.000000,157000.000000,157500.000000,157426.453125,2045164
2021-07-07,158500.000000,163500.000000,158500.000000,161000.000000,160924.828125,4413394
2021-07-08,161500.000000,164500.000000,161000.000000,163000.000000,162923.890625,4121257
2021-07-09,161500.000000,162000.000000,158500.000000,160500.000000,160425.062500,3795528
2021-07-12,161000.000000,162500.000000,158000.000000,162000.000000,161924.359375,3248064
2021-07-13,162500.000000,163500.000000,160500.000000,161000.000000,160924.828125,3859736
2021-07-14,161500.000000,164500.000000,161000.000000,162000.000000,161924.359375,3352019
2021-07-15,162000.000000,162000.000000,158500.000000,159500.000000,159425.515625,3821843
2021-07-16,158500.000000,159500.000000,157000.000000,157000.000000,156926.687500,3423188
2021-07-19,155500.000000,155500.000000,154000.000000,154000.000000,153928.093750,3475792
2021-07-20,151500.000000,153000.000000,149000.000000,152000.000000,151929.031250,6652856
2021-07-21,153000.000000,155500.000000,144500.000000,145000.000000,144932.296875,10409836
2021-07-22,144500.000000,148000.000000,142500.000000,147500.000000,147431.125000,5759268
2021-07-23,148500.000000,153500.000000,147500.000000,149500.000000,149430.187500,5249906
2021-07-26,151500.000000,153000.000000,146500.000000,147500.000000,147431.125000,4071898
2021-07-27,147500.000000,149000.000000,145500.000000,148000.000000,147930.890625,3357695
2021-07-28,147000.000000,149500.000000,146500.000000,148000.000000,147930.890625,2716816
2021-07-29,148500.000000,149000.000000,147500.000000,148500.000000,148430.656250,1766172
2021-07-30,149000.000000,149500.000000,147000.000000,147000.000000,146931.359375,2057332
2021-08-02,147000.000000,148500.000000,145000.000000,146000.000000,145931.828125,2172117
2021-08-03,146000.000000,146500.000000,143000.000000,144000.000000,143932.765625,2697098
2021-08-04,144500.000000,150000.000000,144000.000000,149500.000000,149430.187500,3136752
2021-08-05,150000.000000,151500.000000,148500.000000,149000.000000,148930.421875,2254087
2021-08-06,149500.000000,149500.000000,145000.000000,145500.000000,145432.062500,4155669
2021-08-09,145500.000000,149000.000000,144000.000000,148000.000000,147930.890625,3017396
2021-08-10,148000.000000,148500.000000,144500.000000,146500.000000,146431.593750,2074409
2021-08-11,145500.000000,147500.000000,144000.000000,144000.000000,143932.765625,1754472
2021-08-12,146000.000000,148000.000000,144000.000000,147500.000000,147431.125000,2950088
2021-08-13,147500.000000,147500.000000,144500.000000,146000.000000,145931.828125,2285992
2021-08-17,146000.000000,147500.000000,141000.000000,142000.000000,141933.687500,3322347
2021-08-18,142000.000000,146500.000000,141500.000000,145500.000000,145432.062500,2720552
2021-08-19,144000.000000,149000.000000,144000.000000,146500.000000,146431.593750,2813914
2021-08-20,146500.000000,149000.000000,143000.000000,144000.000000,143932.765625,2776813
2021-08-23,146000.000000,148500.000000,144500.000000,148500.000000,148430.656250,2678395
2021-08-24,150000.000000,150500.000000,148000.000000,149000.000000,148930.421875,2032632
2021-08-25,149000.000000,153500.000000,148500.000000,151000.000000,150929.484375,2900928
2021-08-26,151500.000000,152500.000000,147500.000000,149500.000000,149430.187500,2360164
2021-08-27,149000.000000,150000.000000,147000.000000,150000.000000,149929.953125,1430634
2021-08-30,152000.000000,153000.000000,150500.000000,151500.000000,151429.265625,1628144
2021-08-31,152500.000000,155000.000000,151000.000000,155000.000000,154927.625000,3078357
2021-09-01,155000.000000,156000.000000,154000.000000,154000.000000,153928.093750,2011434
2021-09-02,154500.000000,156000.000000,153500.000000,155000.000000,154927.625000,1649156
2021-09-03,155500.000000,157500.000000,154500.000000,156500.000000,156426.921875,1934669
2021-09-06,156000.000000,156500.000000,152500.000000,155500.000000,155427.390625,1883428
2021-09-07,155500.000000,156000.000000,153500.000000,154000.000000,153928.093750,1072249
2021-09-08,151500.000000,151500.000000,136500.000000,138500.000000,138435.328125,16920382
2021-09-09,134000.000000,134500.000000,128000.000000,128500.000000,128440.000000,14534253
2021-09-10,127000.000000,133500.000000,126000.000000,130000.000000,129939.296875,9918050
2021-09-13,126500.000000,130000.000000,122500.000000,124500.000000,124441.867188,8675498
2021-09-14,122500.000000,126000.000000,118000.000000,124000.000000,123942.101563,18895148
2021-09-15,123500.000000,127500.000000,122000.000000,122500.000000,122442.796875,9078817
2021-09-16,123000.000000,125000.000000,121000.000000,121500.000000,121443.265625,4770936
2021-09-17,121500.000000,121500.000000,118000.000000,119500.000000,119444.203125,4807631
2021-09-23,116500.000000,118000.000000,114000.000000,115000.000000,114946.304688,6314773
2021-09-24,116000.000000,121000.000000,116000.000000,119500.000000,119444.203125,5327603
2021-09-27,120000.000000,122500.000000,119500.000000,120000.000000,119943.968750,3635942
