Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,361500.000000,365500.000000,361500.000000,362500.000000,362018.250000,370929
2021-06-09,360500.000000,363500.000000,358500.000000,358500.000000,358023.562500,361808
2021-06-10,365000.000000,377000.000000,361500.000000,373500.000000,373003.625000,1502316
2021-06-11,378000.000000,378500.000000,367500.000000,372500.000000,372004.937500,658403
2021-06-14,377500.000000,388000.000000,375500.000000,387000.000000,386485.687500,1208589
2021-06-15,387000.000000,389000.000000,381500.000000,387000.000000,386485.687500,625594
2021-06-16,384500.000000,395000.000000,383000.000000,391000.000000,390480.343750,836281
2021-06-17,389500.000000,394500.000000,385000.000000,389500.000000,388982.343750,670522
2021-06-18,391500.000000,400500.000000,391000.000000,398000.000000,397471.062500,1268656
2021-06-21,398000.000000,402000.000000,392000.000000,397000.000000,396472.375000,809114
2021-06-22,400000.000000,400500.000000,391000.000000,391000.000000,390480.343750,702840
2021-06-23,393000.000000,427000.000000,392500.000000,423500.000000,422937.156250,2721355
2021-06-24,430000.000000,436000.000000,413000.000000,419500.000000,418942.468750,2143286
2021-06-25,420000.000000,420000.000000,405000.000000,410000.000000,409455.093750,1382051
2021-06-28,406000.000000,413000.000000,403000.000000,408000.000000,407457.781250,623480
2021-06-29,409500.000000,411500.000000,406000.000000,411500.000000,410953.125000,572319
2021-06-30,415000.000000,425000.000000,409000.000000,417500.000000,416945.125000,955297
2021-07-01,418000.000000,423500.000000,410500.000000,413000.000000,412451.125000,592869
2021-07-02,412500.000000,418500.000000,407000.000000,414000.000000,413449.781250,517934
2021-07-05,415500.000000,418000.000000,408500.000000,410000.000000,409455.093750,492899
2021-07-06,411500.000000,412500.000000,408000.000000,409500.000000,408955.781250,342771
2021-07-07,411000.000000,419000.000000,410500.000000,417500.000000,416945.125000,663260
2021-07-08,419000.000000,431500.000000,418500.000000,422000.000000,421439.156250,1142267
2021-07-09,420000.000000,424000.000000,408000.000000,415500.000000,414947.812500,1090218
2021-07-12,418500.000000,421500.000000,413000.000000,418500.000000,417943.812500,475697
2021-07-13,421000.000000,442000.000000,419000.000000,441000.000000,440413.906250,1498546
2021-07-14,436000.000000,444500.000000,436000.000000,444000.000000,443409.937500,931990
2021-07-15,446500.000000,452500.000000,439500.000000,449000.000000,448403.281250,950460
2021-07-16,448000.000000,461000.000000,443000.000000,447000.000000,446405.937500,1246425
2021-07-19,443000.000000,449500.000000,438500.000000,443000.000000,442411.250000,704307
2021-07-20,438500.000000,441500.000000,431000.000000,439000.000000,438416.562500,789090
2021-07-21,443000.000000,446000.000000,428000.000000,428000.000000,427431.187500,885519
2021-07-22,433000.000000,445000.000000,429000.000000,440000.000000,439415.250000,1035882
2021-07-23,443500.000000,454500.000000,441000.000000,452000.000000,451399.281250,1094026
2021-07-26,460000.000000,465000.000000,447500.000000,452000.000000,451399.281250,855277
2021-07-27,457500.000000,463000.000000,452000.000000,452000.000000,451399.281250,757638
2021-07-28,446000.000000,447000.000000,440000.000000,442000.000000,441412.593750,913055
2021-07-29,444000.000000,445000.000000,438500.000000,439500.000000,438915.906250,556532
2021-07-30,438000.000000,440500.000000,433000.000000,433500.000000,432923.875000,628812
2021-08-02,429000.000000,437000.000000,428500.000000,433500.000000,432923.875000,551937
2021-08-03,439000.000000,439000.000000,422000.000000,428000.000000,427431.187500,830841
2021-08-04,425000.000000,434500.000000,423000.000000,433000.000000,432424.531250,545873
2021-08-05,442000.000000,451500.000000,438500.000000,442500.000000,441911.906250,744924
2021-08-06,443000.000000,447500.000000,440500.000000,444500.000000,443909.250000,416829
2021-08-09,438000.000000,449000.000000,435000.000000,447500.000000,446905.281250,528032
2021-08-10,446000.000000,453500.000000,442500.000000,446500.000000,445906.593750,461940
2021-08-11,445000.000000,449000.000000,442000.000000,445000.000000,444408.593750,446275
2021-08-12,448000.000000,448500.000000,438000.000000,440500.000000,439914.562500,671083
2021-08-13,445000.000000,446000.000000,433000.000000,436500.000000,435919.875000,515855
2021-08-17,435500.000000,437500.000000,420000.000000,428500.000000,427930.531250,763564
2021-08-18,429500.000000,433500.000000,421500.000000,429000.000000,428429.843750,496576
2021-08-19,431000.000000,434000.000000,424500.000000,424500.000000,423935.843750,504352
2021-08-20,425000.000000,432000.000000,421000.000000,422500.000000,421938.500000,587940
2021-08-23,428000.000000,436000.000000,423500.000000,429500.000000,428929.187500,515679
2021-08-24,435000.000000,439000.000000,431500.000000,437500.000000,436918.562500,546884
2021-08-25,434000.000000,439000.000000,427000.000000,430500.000000,429927.875000,677224
2021-08-26,427500.000000,430500.000000,420000.000000,423500.000000,422937.156250,645901
2021-08-27,422000.000000,423500.000000,416500.000000,420000.000000,419441.812500,567004
2021-08-30,425500.000000,429000.000000,423000.000000,428000.000000,427431.187500,399336
2021-08-31,430000.000000,439500.000000,427000.000000,439000.000000,438416.562500,768823
2021-09-01,442000.000000,448500.000000,436500.000000,445000.000000,444408.593750,655075
2021-09-02,445500.000000,448500.000000,439500.000000,442500.000000,441911.906250,431529
2021-09-03,442500.000000,452500.000000,441000.000000,452500.000000,451898.625000,646199
2021-09-06,452500.000000,454500.000000,445500.000000,454000.000000,453396.625000,368743
2021-09-07,450500.000000,453000.000000,444000.000000,444500.000000,443909.250000,356293
2021-09-08,437500.000000,439000.000000,408000.000000,409500.000000,408955.781250,2470864
2021-09-09,400500.000000,406000.000000,396000.000000,399000.000000,398469.718750,1972500
2021-09-10,398000.000000,416500.000000,398000.000000,410000.000000,409455.093750,1326870
2021-09-13,405000.000000,414000.000000,402500.000000,408000.000000,407457.781250,771749
2021-09-14,403500.000000,406500.000000,393500.000000,402500.000000,401965.062500,1636660
2021-09-15,403000.000000,409500.000000,400000.000000,400500.000000,399967.718750,730616
2021-09-16,405000.000000,410000.000000,401000.000000,402000.000000,401465.750000,614987
2021-09-17,404500.000000,405000.000000,397500.000000,403000.000000,402464.406250,558566
2021-09-23,400500.000000,401500.000000,397500.000000,400000.000000,399468.406250,615295
2021-09-24,398500.000000,406000.000000,398000.000000,405500.000000,404961.093750,574341
2021-09-27,406000.000000,407500.000000,401000.000000,403000.000000,402464.406250,455667
2021-09-28,399500.000000,400000.000000,391000.000000,392500.000000,391978.375000,857556
2021-09-29,380500.000000,390000.000000,380000.000000,387000.000000,386485.687500,664216
2021-09-30,383000.000000,390000.000000,381000.000000,388000.000000,387484.343750,611128
2021-10-01,388500.000000,389500.000000,381500.000000,382000.000000,381492.312500,402239
2021-10-05,378500.000000,380000.000000,370000.000000,370500.000000,370007.593750,828794
